"event_code", "event_name"
118540, "淡江大學國際事務學院外交與國際關係學系114學年度第1學期第4次TQM會議"
118539, "王紹新捐款管理委員會114年度第4次會議"
118538, "淡江大學研究推動委員會114學年度第1次會議"
118537, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第8次會議(陳閱單)"
118536, "淡江大學商管學院風險管理與保險學系教師評審委員會114學年度第8次會議"
118535, "淡江大學工學院機械與機電工程學系114學年度第1學期第2次系務會議"
118534, "淡江大學商管學院公共行政學系114學年度第1學期第3次TQM會議 簽到單"
118533, "114學年度校友處QCC第4次會議"
118532, "淡江大學圖書館參考組114學年度第4次TQM小組會議"
118531, "體育事務處114學年度個人資料管理制度內部稽核結束會議"
118530, "體育事務處114學年度個人資料管理制度內部稽核起始會議"
118529, "日本語文學系_2026秋田研修團行前說明會"
118528, "經濟系羽系排聯合社團-經濟系羽聖誕交換禮物"
118527, "劍道社-上學期期末社員大會"
118526, "管理科學系學會-淡江管科聖誕節活動"
118525, "淡江大學教職員工第9屆退休福利儲金管理委員會財經小組第6次會議"
118524, "優久大學聯盟優三圖書館自動化統籌中心114學年度第2次臨時會議"
118523, "淡江大學「智能生成技術化身兒女為長者帶來關懷與健康」專利申請書面審查會議"
118522, "淡江大學「高齡者智慧共乘計程車系統」專利申請書面審查會議"
118521, "淡江大學「三維列印模型之自動化灰階切層與影像輸出方法」專利申請書面審查會議"
118518, "商管學院獎學金審查委員會114學年度第2次會議"
118517, "淡江大學AI創智學院114學年度第1學期第2次TQM會議"
118516, "建築學會-建築週系列活動-樂團之夜"
118515, "建築學會-建築週系列活動-起床氣大賽"
118514, "學生獎助學金委員會114學年度第1學期第二次會議"
118513, "企業管理學系114學年度第1學期第3次TQM會議"
118512, "資訊處115年高深耕計畫經費編列討論會"
118511, "1141社團學習與實作課程期末認證講習"
118510, "維修通報系統整合成果展示"
118509, "淡江大學國際事務學院全球政治經濟學系114學年度第1學期第4次TQM會議"
118508, "總務處暨環安中心114學年度數位能力內部稽核_結束會議"
118507, "總務處暨環安中心114學年度數位能力內部稽核_起始會議"
118506, "淡江大學商管學院風險管理與保險學系114學年度第1學期第3次TQM會議"
118505, "總務處暨環安中心114學年度資通安全管理制度內部稽核_結束會議"
118504, "總務處暨環安中心114學年度資通安全管理制度內部稽核_起始會議"
118503, "114學年度淡江大學研發處出版中心第1次TQM會議紀錄"
118502, "淡江大學品質保證稽核處114學年度QM業務小組第2次會議"
118501, "總務處出納組TQM小組會議114.12"
118500, "淡江大學114學年度第1學期第2次工學院TQM會議簽到單"
118499, "工學院暨AI創智學院114學年度第1學期第2次王紹新入學獎學金審查委員會會議"
118498, "工學院暨AI創智學院114學年度第1學期第2次有蓮獎學金審查委員會會議"
118497, "研究發展處114學年度第1學期資通安全管理制度 暨數位能力內部稽核_結束會議"
118496, "114學年度第1學期研發處資安內部稽核作業及數位能力稽核結束會議"
118495, "研究發展處114學年度第1學期資通安全管理制度 暨數位能力內部稽核_起始會議"
118494, "114學年度第1學期研發處資安內部稽核作業及數位能力稽核起始會議"
118493, "1141223_1"
118492, "1141223_1"
118491, "1141222_1"
118490, "淡江大學理學院114學年度個人資料管理制度內部稽核-起始會議"
118489, "114 學年度第 1 學期個人資料管理制度內部稽核財務處結束會議"
118488, "淡江大學學生事務處衛生保健組114學年度第1學期第4次TQM會議紀錄"
118487, "114 學年度第 1 學期個人資料管理制度內部稽核財務處起始會議"
118486, "文學院114學年度第5次品管圈討論會議"
118485, "淡江大學文學院歷史學系114學年度第1學期第2次系務會議"
118484, "淡江大學114學年度商管學院資訊管理學系教師評審委員會第8次會議簽到單"
118483, "淡江大學114學年度商管學院會計學系教師評審委員會第12次會議紀錄陳閱單"
118482, "淡江大學114學年度商管學院會計學系教師評審委員會第12次會議簽到單"
118481, "桌遊研習社-璀璨寶石桌遊比賽"
118480, "三全教育中心 資通安全事件(單位網頁遭竄改)演練"
118479, "2025英詩朗誦比賽"
118478, "羅浮群-團慶"
118477, "淡江大學與瀚荃集團「全雲端智慧校園3.0-智慧永續產學合作-實習實戰共創」合作備忘錄及產學合作計畫簽約儀式"
118475, "推廣教育處資通安全管理制度暨MS 3AP數位能力 內部稽核結束會議"
118474, "推廣教育處資通安全管理制度暨MS 3AP數位能力內部稽核啟始會議"
